time,rawContent
2021-09-17 21:36:57+00:00,MonthlyUp20 $AFRM $115.53 -1.74% -6.60% 81.94% 71.77% 66.96 $APPS $66.75 5.68% 7.85% 31.27% -4.57% 63.36 $CCJ $22.36 -6.95% -8.47% 39.14% 10.80% 60.82 $CHDN $226.91 0.34% 4.16% 23.39% 14.44% 75.90 $CNK $17.95 0.50% 6.59% 21.45% -18.78% 58.16
2021-09-17 21:37:05+00:00,WinningStreak5 $CHDN $226.91 0.34% 4.16% 23.39% 14.44% 75.90 $RHP $84.10 0.90% 10.04% 11.76% 1.23% 59.55 $TSLA $759.25 0.30% 3.12% 14.05% 26.68% 65.36
2021-09-20 12:07:10+00:00,WinningStreak5 $CHDN $226.91 0.00% 3.39% 21.28% 15.45% 75.90 $RHP $84.10 0.00% 3.48% 13.86% 0.91% 59.55
2021-09-20 19:33:39+00:00,"Ok, who flipped the switch from sell to buy? $CHDN $UPST"
2021-09-20 20:23:31+00:00,"CHDN (Churchill Downs Inc) 🚨 #Insider #stock alert! 💰 #Sale on 2021-09-16 - $CHDN 🇺🇸: Miller Austin W. (SVP, Gaming Operations), total amount $1.261.341. Stock has a float of 33.00M shares"
2021-09-22 14:00:32+00:00,Roundhill Sports Betting &amp; iGaming Index Top Ten 📊 1. Rush Street $RSI 2. TheScore $SCR.CN 3. Entain $ENT.LN 4. Flutter $FLTR.LN 5. DraftKings $DKNG 6. Kindred Group $KIND.SS 7. Golden Nugget Online $GNOG 8. Penn National $PENN 9. PointsBet $PBH.AU 10. Churchill Downs $CHDN
2021-09-22 17:07:54+00:00,"Bear Forecasts September 22, 2021 10:04:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $SAM : 0.75 $SRE : 0.78 $DDD : 0.44 $MGNI : 4.20 $LITE : -0.05 $CHDN : 0.24 $KBH : 1.03 $DVAX : 20.28 $KLIC : -0.38 $AAP : 0.36"
2021-09-22 17:13:02+00:00,"Bear Forecasts September 22, 2021 10:09:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $SGEN : 1.38 $SAM : 0.71 $CHDN : 0.24 $SRE : 0.78 $DDD : 0.13 $AAWW : 1.66 $KBH : 0.96 $BOIL : 1.33 $GDRX : -2.53 $BIB : -0.48"
2021-09-22 17:18:18+00:00,"Bear Forecasts September 22, 2021 10:14:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $AAWW : 1.82 $SGEN : 1.43 $SAM : 0.71 $FANG : 2.43 $SRE : 0.82 $CHDN : 0.44 $KLIC : -0.68 $KBH : 0.84 $MGNI : 4.72 $DDD : 0.20"
2021-09-22 20:17:08+00:00,Churchill Downs proposes development of Queen of Terre Haute Casino in Indiana $CHDN
2021-09-23 21:36:58+00:00,MonthlyUp20 $AFRM $127.25 11.55% 8.22% 87.93% 99.45% 69.45 $APPS $73.75 4.74% 16.77% 44.07% 8.90% 68.94 $CCJ $21.34 1.57% -11.19% 26.87% 9.55% 53.47 $CHDN $238.01 1.97% 5.25% 22.25% 19.96% 82.30 $CNK $18.78 4.74% 5.15% 20.08% -14.71% 63.56
2021-09-24 20:07:48+00:00,Bet On It: Connecticut sports betting launch targeted for October 7 $GENI $GNOG $SGMS $DKNG $GMVHF $MGM $WYNN $LVS $ACEL $BALY $BYD $CZR $CHDN $PDYPY $GAN $ZKIN $PENN $RSI $SCR
2021-09-28 15:37:10+00:00,WinningStreak5 $BAC $43.41 0.35% 10.94% 3.26% 6.32% 65.92 $CAT $200.04 0.02% 5.37% -5.30% -8.80% 45.43 $CHDN $244.08 0.37% 7.64% 20.53% 20.74% 85.11 $CVX $103.28 0.30% 8.89% 6.23% -3.60% 64.26 $DMLP $18.65 0.48% 9.58% 17.96% 10.95% 74.45
2021-09-28 16:37:09+00:00,WinningStreak5 $BAC $43.35 0.21% 10.78% 3.12% 6.17% 65.67 $CHDN $245.04 0.76% 8.06% 21.01% 21.22% 85.51 $CVX $103.16 0.18% 8.76% 6.11% -3.71% 64.02 $DMLP $18.69 0.69% 9.80% 18.20% 11.17% 74.74 $F $14.42 1.84% 12.92% 11.78% -5.50% 65.97 $GM $53.46 0.41% 8.28% 9.95% -10.96% 61.77
2021-09-29 12:46:36+00:00,"$CHDN Churchill Downs, Arlington Heights Property'i 197,2 milyon dolara sattı"
2021-09-29 12:53:18+00:00,"$CHDN sell Arlington Park in Illinois to the @ChicagoBears for $197.2m. Sale is expected to close late next year, early 2023."
2021-09-29 13:00:06+00:00,"Popular: $SOFI, $NRXP, $VTNR, $CTAS, $MAAC, $HD, $BCAB, $CVNA, $CHDN, $LMNR, $NLTX, $NEWT, $LLY, $FL, $BEKE, $HMLP, $AMCR"
2021-09-29 15:15:11+00:00,Started a swing on $CHDN 10/15 270 calls
2021-09-29 17:05:04+00:00,$CHDN - Churchill Downs To Sell Arlington Heights Property For $197.2M #MA #News #Sell
2021-09-29 23:13:37+00:00,$chdn 500 mil buyback
